MrotInHour,Salary,Class
13,3787,0
3,7359,1
13,11949,1
5,12704,1
14,2615,0
7,18371,1
9,2032,0
2,16721,1
5,12174,1
14,13163,1
5,12396,1
10,12551,1
13,344,0
5,18625,1
8,16265,1
14,6854,1
10,7164,1
9,16149,1
10,21984,1
10,9646,1
5,9083,1
10,3778,0
2,8799,1
10,24390,1
14,24535,1
12,16338,1
10,12724,1
6,22277,1
8,23726,1
4,12652,1
2,16289,1
12,3896,0
7,5689,1
2,20634,1
9,3724,0
3,23812,1
2,5875,1
11,1165,0
12,19658,1
14,14576,1
6,834,0
6,23214,1
3,7701,1
6,16935,1
9,14316,1
10,5083,1
8,4796,1
13,23771,1
8,12319,1
4,18212,1
4,8780,1
10,8147,1
12,4105,0
2,6318,1
12,24231,1
5,22805,1
11,20227,1
2,24211,1
5,4934,1
3,11468,1
9,17899,1
12,20631,1
9,3656,0
8,10954,1
13,20227,1
10,6242,1
2,21302,1
5,19850,1
11,10586,1
7,20921,1
5,15286,1
5,8206,1
8,2759,0
11,23503,1
3,3970,1
2,21706,1
14,23576,1
7,20606,1
12,3911,0
13,3180,0
9,24956,1
7,4045,1
13,21029,1
8,18112,1
4,17413,1
8,23080,1
14,18291,1
6,16655,1
4,20877,1
11,19337,1
2,7907,1
8,9352,1
13,18126,1
12,2716,0
7,22510,1
4,12931,1
14,6259,0
13,22165,1
5,17768,1
6,1327,0
4,15227,1
8,1329,0
11,22610,1
14,12965,1
11,7140,1
14,6052,0
2,3266,1
13,19495,1
7,10639,1
10,5622,1
10,15446,1
10,5980,1
9,24812,1
8,16075,1
6,17526,1
11,11426,1
13,20396,1
13,14607,1
11,21025,1
13,16536,1
7,9897,1
2,23425,1
14,1063,0
2,13894,1
2,17775,1
6,8469,1
8,1544,0
3,13529,1
11,13129,1
10,6770,1
10,19423,1
6,474,0
13,15678,1
8,20107,1
3,16241,1
14,4713,0
12,24300,1
4,4881,1
11,5897,1
9,17485,1
10,8900,1
8,13471,1
13,10204,1
6,23150,1
6,15324,1
11,23595,1
12,9659,1
14,7614,1
12,873,0
12,24299,1
10,386,0
8,24009,1
3,4864,1
4,3136,1
8,6655,1
12,22669,1
2,2366,1
11,8579,1
14,20581,1
5,12516,1
8,15686,1
14,683,0
13,15899,1
10,18216,1
6,23231,1
2,16746,1
10,11239,1
6,6885,1
11,20743,1
7,23264,1
11,17208,1
3,23787,1
13,13390,1
12,13891,1
3,18993,1
13,3758,0
3,18337,1
8,1416,0
8,3799,0
6,16384,1
11,19308,1
9,1506,0
6,19828,1
14,23694,1
2,2587,1
7,18118,1
3,15221,1
2,21351,1
3,20434,1
6,1157,0
4,1335,0
8,7917,1
6,17634,1
4,17051,1
13,12030,1
5,5984,1
7,21207,1
2,588,0
7,23408,1
4,9317,1
7,8220,1
7,13366,1
6,3844,1
10,20005,1
7,6251,1
11,18110,1
14,20105,1
14,22836,1
11,3013,0
6,13905,1
14,24644,1
8,6363,1
10,2170,0
14,20726,1
12,8610,1
3,6327,1
5,347,0
6,3004,1
9,13446,1
12,24667,1
9,11835,1
9,13108,1
7,1727,0
13,2638,0
8,12614,1
9,11631,1
2,17629,1
10,18814,1
5,23435,1
10,711,0
5,10300,1
14,11019,1
5,8531,1
6,11639,1
2,17975,1
4,24168,1
12,1363,0
7,21638,1
6,6191,1
10,20467,1
4,6961,1
12,20441,1
13,21524,1
5,5437,1
8,15969,1
3,21924,1
6,13034,1
7,5328,1
14,18534,1
10,15236,1
12,6036,1
4,10570,1
6,6024,1
10,17467,1
9,19452,1
14,4075,0
7,14963,1
11,14273,1
7,22411,1
10,17551,1
14,2259,0
5,21369,1
6,17693,1
12,555,0
7,10373,1
12,12873,1
5,24071,1
10,9761,1
4,11467,1
12,7425,1
13,4336,0
8,13885,1
3,11677,1
3,9177,1
13,5008,0
11,23006,1
14,4900,0
9,18967,1
9,7424,1
14,6409,0
12,9160,1
3,16330,1
5,13241,1
5,6610,1
11,22583,1
2,6062,1
11,3189,0
2,9867,1
12,14119,1
3,11134,1
14,4501,0
3,18981,1
6,11561,1
10,17154,1
6,14196,1
7,20863,1
4,12243,1
5,12854,1
4,2199,1
11,15800,1
10,22758,1
6,4995,1
5,1898,0
14,15169,1
9,22536,1
11,23394,1
8,14780,1
10,15796,1
11,5152,0
5,20741,1
7,20732,1
10,1219,0
12,19401,1
7,8532,1
14,7025,1
14,8991,1
14,17977,1
11,21066,1
13,22572,1
2,4672,1
13,12454,1
11,14733,1
14,20085,1
8,18469,1
13,11061,1
7,24275,1
14,24583,1
4,24685,1
14,2363,0
11,17189,1
7,7535,1
8,3689,0
4,13557,1
4,4642,1
11,6747,1
10,20450,1
6,2401,0
12,861,0
3,13660,1
6,11723,1
8,19801,1
5,11868,1
14,4710,0
6,11087,1
12,9275,1
9,1241,0
5,8165,1
3,17851,1
3,2362,1
12,1454,0
6,15285,1
2,19003,1
6,1157,0
2,5783,1
12,14994,1
3,13156,1
10,20780,1
5,16374,1
11,19331,1
6,21695,1
13,7724,1
2,24349,1
5,1646,0
2,6321,1
11,8083,1
13,16268,1
12,19339,1
14,16810,1
8,4753,1
6,16997,1
6,17004,1
3,12733,1
6,16721,1
3,18191,1
13,19450,1
7,15855,1
8,6206,1
4,24470,1
7,13724,1
6,3350,1
14,17043,1
7,9004,1
7,24591,1
5,1859,0
12,3775,0
11,3704,0
13,8893,1
14,14608,1
6,18401,1
12,14915,1
13,20496,1
14,12711,1
6,21776,1
2,12206,1
10,2569,0
12,5921,1
8,12906,1
2,20558,1
13,7102,1
12,5513,0
12,3266,0
5,5750,1
6,21479,1
13,4904,0
3,19922,1
5,24921,1
2,9210,1
8,1352,0
2,17276,1
3,14524,1
11,18760,1
4,23926,1
7,23930,1
3,21641,1
9,24284,1
4,17174,1
10,19255,1
10,20758,1
9,5882,1
14,8613,1
3,6494,1
8,10101,1
5,2781,1
13,12635,1
14,5558,0
4,3253,1
5,14214,1
13,24651,1
14,15343,1
3,12101,1
9,9370,1
11,11241,1
3,15321,1
7,13902,1
2,2537,1
13,21629,1
8,21593,1
12,8481,1
8,22468,1
12,24174,1
3,9110,1
5,23383,1
3,4301,1
10,23155,1
13,9177,1
6,7637,1
12,23479,1
2,5748,1
4,24574,1
8,21179,1
10,15803,1
6,809,0
2,18270,1
13,15510,1
10,5734,1
4,19174,1
10,3663,0
6,6680,1
3,20035,1
11,15119,1
10,23354,1
10,16600,1
12,9557,1
4,12162,1
5,21049,1
7,8843,1
11,19951,1
14,2254,0
13,19351,1
13,6199,0
13,10503,1
4,10741,1
13,2715,0
11,11866,1
12,19628,1
13,22104,1
6,3945,1
12,5375,0
10,19730,1
6,24189,1
13,7068,1
5,1337,0
4,8946,1
13,23940,1
4,1352,0
3,14031,1
8,19124,1
5,11357,1
4,1010,0
8,15469,1
2,16606,1
14,18501,1
9,14654,1
4,5848,1
5,12378,1
5,3727,1
12,16632,1
8,775,0
9,23293,1
12,18170,1
10,4190,0
4,9342,1
4,1649,0
14,22520,1
10,9776,1
5,10694,1
10,21703,1
5,11829,1
10,3306,0
8,2251,0
11,21646,1
8,3488,0
5,5442,1
7,2847,0
6,5152,1
10,3981,0
13,14998,1
11,555,0
6,21156,1
9,4903,1
9,2416,0
11,9591,1
6,15012,1
4,6360,1
13,22174,1
13,13069,1
7,12441,1
9,21668,1
12,20064,1
5,9244,1
6,16455,1
3,19003,1
7,11953,1
9,8797,1
9,1357,0
11,6813,1
9,16621,1
6,19172,1
10,15972,1
10,6875,1
10,9668,1
14,13939,1
9,15601,1
4,22967,1
11,18770,1
10,18948,1
14,10100,1
8,20858,1
7,588,0
7,5401,1
4,5350,1
6,18386,1
12,22259,1
12,13714,1
10,13456,1
11,3069,0
3,22494,1
11,20104,1
6,13009,1
2,13650,1
8,21498,1
6,16114,1
10,15089,1
12,7881,1
5,5845,1
14,716,0
12,345,0
13,20367,1
13,10288,1
13,2724,0
5,15883,1
2,20179,1
14,5038,0
12,3235,0
12,15338,1
9,11317,1
14,5249,0
8,6096,1
8,22052,1
14,3703,0
6,14607,1
5,16057,1
8,22277,1
8,8187,1
13,8376,1
3,15586,1
4,4627,1
4,1783,0
4,6960,1
14,22509,1
4,14082,1
10,9576,1
4,19982,1
5,19120,1
10,4685,0
13,14785,1
8,10990,1
13,8704,1
5,12938,1
14,5500,0
11,6084,1
4,1009,0
10,22136,1
2,13800,1
4,8641,1
12,7836,1
10,1734,0
11,14009,1
4,7690,1
3,11306,1
4,5838,1
13,22700,1
5,23865,1
4,24523,1
5,10373,1
12,4887,0
4,10821,1
7,17404,1
3,914,0
4,9698,1
5,2765,1
14,1098,0
8,6671,1
3,17818,1
10,24591,1
14,15459,1
6,19206,1
10,7304,1
2,13823,1
7,17185,1
7,16088,1
13,14347,1
14,18654,1
14,2152,0
14,24232,1
13,16921,1
10,12437,1
11,4330,0
11,10442,1
11,1123,0
4,6808,1
5,13907,1
4,16999,1
10,11878,1
12,19124,1
4,15887,1
2,22958,1
4,3193,1
13,9346,1
2,13323,1
7,22339,1
7,14371,1
6,16732,1
3,20697,1
14,24047,1
14,14285,1
11,14672,1
9,18077,1
10,12022,1
9,3560,0
2,1005,1
7,7190,1
6,6934,1
12,2742,0
12,5507,0
13,4511,0
7,12261,1
7,14892,1
11,11348,1
14,6834,1
6,22119,1
12,20883,1
13,9174,1
8,23749,1
4,3519,1
13,3287,0
5,6018,1
11,7564,1
10,3404,0
13,8757,1
3,10019,1
12,16745,1
7,1276,0
5,16099,1
9,22875,1
5,704,0
5,8406,1
2,10048,1
14,22110,1
10,8627,1
2,9409,1
11,2814,0
12,969,0
7,5041,1
9,9764,1
6,21935,1
14,6037,0
4,20092,1
12,24237,1
3,23179,1
14,19655,1
10,12864,1
10,16973,1
10,472,0
14,1821,0
6,8739,1
14,7918,1
2,8425,1
7,14927,1
14,5352,0
3,23790,1
12,10397,1
8,16599,1
3,3502,1
5,8089,1
13,10488,1
12,5638,0
9,21992,1
2,21900,1
5,5632,1
13,24874,1
3,5271,1
9,10161,1
5,7722,1
12,1441,0
8,3275,0
13,9154,1
8,5257,1
6,11018,1
8,4914,1
2,14033,1
7,16487,1
3,24295,1
10,12308,1
3,8322,1
14,6789,1
8,11956,1
5,17491,1
6,17207,1
5,24475,1
6,15308,1
5,677,0
13,4653,0
4,11237,1
13,20681,1
12,9474,1
2,13087,1
14,22100,1
2,20991,1
13,16509,1
8,13886,1
9,18669,1
2,9807,1
4,21301,1
10,6729,1
13,21725,1
10,22932,1
11,2659,0
10,10623,1
7,17964,1
3,18476,1
3,2899,1
9,17121,1
11,17421,1
5,17397,1
