MrotInHour,Salary,Class
3,20226,1
5,8182,1
12,17785,1
10,2072,0
9,4751,1
10,11529,1
11,12852,1
10,9605,1
12,15173,1
14,20661,1
9,20519,1
3,15148,1
14,11173,1
7,494,0
12,14536,1
12,1986,0
11,4451,0
9,1767,0
3,3062,1
8,14336,1
2,21698,1
9,4836,1
5,9171,1
12,7318,1
7,15327,1
13,1205,0
11,20339,1
13,24632,1
2,9804,1
2,23992,1
5,2710,1
10,10171,1
6,4689,1
13,21377,1
7,1221,0
5,18432,1
10,19205,1
8,24162,1
2,8219,1
13,23146,1
9,21664,1
11,8024,1
12,3323,0
6,9568,1
14,18456,1
13,23383,1
10,13669,1
13,20233,1
5,8147,1
11,2875,0
6,13069,1
4,22631,1
7,9607,1
8,6681,1
13,3676,0
5,8387,1
13,13351,1
13,6630,1
7,13321,1
10,15164,1
11,9547,1
8,22058,1
3,22173,1
6,11547,1
7,14774,1
2,11412,1
6,11898,1
6,14526,1
12,11638,1
4,5300,1
4,14402,1
2,7850,1
11,24205,1
14,3963,0
2,14374,1
10,19794,1
8,8798,1
14,17936,1
9,17066,1
9,1342,0
10,21768,1
2,4706,1
4,6142,1
14,1958,0
2,18380,1
6,1755,0
5,12991,1
4,8545,1
4,5071,1
4,21522,1
10,24159,1
7,12472,1
13,15198,1
8,11248,1
10,12527,1
7,12753,1
14,19628,1
7,5219,1
4,19543,1
9,10534,1
6,10238,1
9,6258,1
11,21195,1
4,20823,1
12,20486,1
4,17600,1
3,925,0
7,3606,1
7,11801,1
14,12843,1
3,3890,1
6,16306,1
13,12452,1
10,4187,0
8,22259,1
3,4501,1
4,3867,1
3,18084,1
12,17149,1
8,1112,0
14,22279,1
13,14119,1
2,13556,1
12,15291,1
2,13804,1
8,2918,0
5,761,0
14,6310,0
7,23006,1
5,10993,1
7,24778,1
2,21083,1
13,20303,1
14,20822,1
6,13950,1
5,11728,1
10,18331,1
13,23343,1
12,22704,1
8,24845,1
6,14478,1
11,17764,1
2,22475,1
6,3926,1
4,8449,1
7,16932,1
12,21273,1
11,2025,0
14,17451,1
5,9039,1
14,9897,1
2,14314,1
4,24749,1
4,5621,1
6,13250,1
10,21294,1
10,19471,1
8,15694,1
8,14445,1
7,15404,1
8,11817,1
3,15772,1
2,15268,1
6,8107,1
8,14306,1
9,16534,1
5,13043,1
7,2276,0
2,1223,1
10,15961,1
6,18827,1
10,13824,1
7,2333,0
12,22522,1
8,18500,1
12,23136,1
5,5245,1
9,19110,1
8,14319,1
12,20750,1
9,913,0
3,19786,1
4,9714,1
5,3108,1
6,23959,1
4,10772,1
3,1590,1
7,1848,0
5,3753,1
4,7603,1
14,835,0
7,20697,1
8,22163,1
10,12897,1
13,20185,1
4,17797,1
4,7853,1
9,3002,0
7,22110,1
11,7250,1
8,23560,1
7,3337,0
9,9934,1
13,14615,1
3,4811,1
8,23771,1
7,3990,1
9,2323,0
10,1345,0
14,24459,1
6,20688,1
6,21602,1
14,7288,1
6,24523,1
9,9943,1
3,14784,1
8,21277,1
14,18676,1
3,367,0
7,15241,1
10,6047,1
12,5486,0
3,20462,1
9,17508,1
5,2519,1
3,16515,1
6,16986,1
7,3279,0
9,15509,1
11,6049,1
4,19600,1
9,5413,1
2,7170,1
3,17420,1
8,21672,1
14,18220,1
11,1725,0
14,993,0
7,12660,1
5,11631,1
3,7957,1
6,13366,1
6,13766,1
5,4820,1
4,5953,1
4,20839,1
13,13602,1
11,5522,1
4,18022,1
4,19472,1
14,21532,1
12,23266,1
11,6521,1
5,6378,1
11,18054,1
5,492,0
5,9207,1
9,1538,0
3,14129,1
7,18320,1
13,9456,1
12,9147,1
11,9464,1
2,2101,1
10,11958,1
14,2560,0
12,13130,1
5,14571,1
6,14912,1
3,10732,1
7,13721,1
12,21224,1
4,21140,1
12,17044,1
10,4380,0
11,24442,1
10,7732,1
10,22390,1
10,10677,1
8,18182,1
12,2448,0
13,22745,1
8,3564,0
10,14837,1
9,21021,1
3,2966,1
4,8867,1
5,959,0
5,15772,1
12,18058,1
12,9907,1
13,18804,1
2,8910,1
14,9119,1
14,8581,1
4,17968,1
8,17875,1
9,16175,1
7,12779,1
4,1006,0
8,18406,1
3,11163,1
6,17887,1
9,7728,1
8,3203,0
12,8993,1
3,1288,0
9,17244,1
10,20827,1
4,9506,1
8,22339,1
2,17288,1
4,16810,1
12,3076,0
9,13717,1
9,4631,1
9,14739,1
14,13538,1
10,10309,1
10,5989,1
4,8657,1
13,1945,0
14,5731,0
2,17833,1
2,1367,1
2,2682,1
7,11474,1
4,2597,1
12,8643,1
2,16207,1
5,537,0
10,13836,1
4,22836,1
12,11583,1
2,8440,1
14,21052,1
4,8085,1
5,20542,1
2,9063,1
3,6714,1
7,6990,1
12,9104,1
11,16624,1
12,22990,1
10,16053,1
11,20158,1
4,22742,1
4,1032,0
3,15242,1
12,10313,1
6,13826,1
2,3493,1
6,10764,1
2,18907,1
9,16539,1
2,12377,1
4,2171,1
14,4976,0
12,10691,1
9,10050,1
12,972,0
13,20246,1
6,2665,0
5,9737,1
5,18403,1
6,4391,1
6,6711,1
11,5031,0
14,8031,1
8,17342,1
8,15213,1
2,10894,1
5,1144,0
3,18594,1
7,13059,1
4,9340,1
8,15764,1
2,11043,1
9,4223,0
2,21246,1
6,1758,0
8,17955,1
14,5071,0
8,10422,1
6,10614,1
4,14186,1
11,22097,1
7,730,0
2,19094,1
6,22749,1
7,17662,1
9,11798,1
8,17159,1
3,3026,1
6,20463,1
8,15138,1
6,19307,1
10,4617,0
9,15465,1
10,10335,1
3,15949,1
9,3997,0
10,5333,1
14,13764,1
12,21200,1
6,18457,1
9,9475,1
8,8335,1
13,13105,1
13,6945,1
8,16220,1
4,11878,1
13,1053,0
10,11508,1
9,12892,1
11,24085,1
12,5309,0
11,21096,1
6,8991,1
7,10164,1
2,11848,1
9,3460,0
13,8344,1
7,22960,1
2,4488,1
4,16316,1
13,24213,1
6,1360,0
9,17551,1
13,3192,0
11,2914,0
9,13645,1
8,14291,1
11,9717,1
6,18011,1
2,7446,1
13,12518,1
14,20933,1
14,18275,1
4,5878,1
9,14165,1
10,21998,1
11,12001,1
5,13449,1
8,14396,1
13,24369,1
9,6140,1
5,8548,1
3,12727,1
5,7227,1
3,20117,1
7,9344,1
3,22998,1
7,21620,1
10,23873,1
8,8001,1
3,553,0
8,21691,1
11,12542,1
12,6607,1
8,19742,1
10,8504,1
8,19432,1
9,13504,1
4,1609,0
11,19428,1
13,23315,1
10,8296,1
12,421,0
3,22590,1
6,16849,1
3,18102,1
6,23796,1
12,6658,1
13,15018,1
13,22569,1
3,15982,1
6,7824,1
11,5416,1
3,2062,1
4,11799,1
3,23977,1
14,9134,1
12,18803,1
8,5935,1
2,11902,1
4,24106,1
9,11204,1
2,9132,1
3,12439,1
5,12957,1
8,22684,1
13,20520,1
13,12461,1
4,11145,1
9,6883,1
12,10856,1
12,13464,1
12,12204,1
14,3698,0
9,11786,1
8,14426,1
10,14138,1
11,20014,1
14,18002,1
6,12381,1
8,5686,1
10,14209,1
6,24483,1
13,8672,1
4,20153,1
9,1387,0
13,823,0
14,9089,1
6,2791,0
10,10920,1
13,4644,0
3,8057,1
8,7479,1
11,18235,1
2,9409,1
12,20299,1
2,21764,1
2,24544,1
6,20034,1
9,21240,1
11,2527,0
10,17419,1
6,16184,1
14,22535,1
6,11865,1
10,13668,1
3,3050,1
5,10072,1
9,13800,1
6,17405,1
10,24504,1
10,14145,1
8,5949,1
7,7827,1
9,23191,1
6,10724,1
11,6764,1
13,23745,1
5,16814,1
13,4186,0
8,7985,1
13,13234,1
14,3250,0
6,24841,1
12,18363,1
9,18064,1
13,19272,1
7,4798,1
13,21046,1
9,20436,1
5,1408,0
14,1111,0
5,7506,1
9,24458,1
11,4559,0
7,10563,1
5,13426,1
6,3899,1
13,20727,1
14,16722,1
13,21086,1
7,19549,1
11,9676,1
2,7164,1
3,2862,1
9,4986,1
2,11212,1
10,16593,1
2,15329,1
14,5445,0
2,2874,1
2,4037,1
7,10187,1
12,14273,1
3,24150,1
13,23916,1
14,4619,0
13,23122,1
5,19866,1
13,4365,0
9,21104,1
14,4112,0
11,16363,1
10,6076,1
13,6140,0
4,11422,1
7,13954,1
7,19191,1
4,23422,1
5,12270,1
12,7802,1
6,14782,1
8,5408,1
10,21742,1
5,2080,0
3,7616,1
9,8485,1
7,16258,1
8,5059,1
5,4537,1
9,20394,1
12,20384,1
12,15158,1
11,20157,1
7,14559,1
5,8700,1
5,2383,0
7,2145,0
4,23766,1
8,3562,0
11,11449,1
8,19687,1
10,3762,0
4,19726,1
13,646,0
9,4530,1
6,11762,1
6,7721,1
7,1709,0
12,16765,1
8,10480,1
4,7614,1
12,14163,1
12,21197,1
10,17249,1
14,3909,0
12,11154,1
7,21298,1
2,16862,1
12,17035,1
6,6626,1
9,20472,1
9,16416,1
12,15815,1
10,1534,0
5,24771,1
6,2424,0
4,7752,1
6,6995,1
12,19344,1
7,16637,1
11,14039,1
8,2009,0
7,6115,1
7,18533,1
12,1661,0
7,18517,1
10,2049,0
4,16218,1
10,14479,1
5,11065,1
14,20873,1
12,11310,1
7,5467,1
11,8890,1
9,18591,1
11,9607,1
4,13986,1
9,7591,1
5,5004,1
13,3079,0
6,18788,1
8,24349,1
6,9192,1
6,15322,1
5,20276,1
11,11432,1
5,5458,1
5,22409,1
2,545,0
7,17314,1
4,12915,1
12,1351,0
14,2243,0
3,21951,1
12,22224,1
10,3924,0
7,10184,1
6,1161,0
8,14797,1
4,2682,1
7,9105,1
10,2694,0
3,4943,1
5,9116,1
13,20165,1
13,3871,0
9,17403,1
14,14287,1
9,23225,1
4,7678,1
7,18939,1
7,6542,1
12,16799,1
4,19302,1
12,12502,1
14,808,0
8,2645,0
12,3547,0
5,2818,1
7,15996,1
3,12955,1
8,7947,1
8,393,0
6,18878,1
5,16916,1
12,22422,1
9,24708,1
6,18576,1
13,13525,1
4,4584,1
8,4366,1
11,1024,0
14,19390,1
2,17574,1
2,22054,1
4,9062,1
14,21956,1
4,4712,1
7,14608,1
5,18693,1
2,8559,1
4,7357,1
14,19887,1
3,15268,1
8,2018,0
5,2503,1
5,2574,1
8,20645,1
14,4146,0
8,5876,1
2,11688,1
11,3841,0
3,22289,1
11,20742,1
2,15684,1
4,18380,1
14,21355,1
8,17470,1
8,12524,1
7,19370,1
5,7968,1
14,24599,1
9,5690,1
13,14862,1
3,2875,1
6,5894,1
6,1714,0
7,719,0
5,8742,1
7,13339,1
11,24248,1
13,8564,1
10,13293,1
9,15530,1
11,13333,1
9,16357,1
6,21964,1
7,6178,1
2,15155,1
7,17721,1
4,6608,1
13,17061,1
10,16647,1
5,4207,1
5,14428,1
3,11596,1
12,7414,1
8,10178,1
11,763,0
9,9840,1
11,1724,0
2,8358,1
4,3527,1
5,4411,1
6,17298,1
10,15850,1
13,12461,1
4,14739,1
12,22189,1
11,11376,1
13,13232,1
11,16177,1
8,7677,1
14,6624,0
13,21405,1
6,22093,1
2,15153,1
5,2819,1
9,24085,1
2,17932,1
3,21598,1
10,11730,1
10,14792,1
14,13787,1
5,16390,1
2,1008,1
7,19480,1
5,13574,1
7,3817,1
8,382,0
6,853,0
